instancia,algoritmo,iteracao,tempo_s,memoria_pico_b
pequena,mochila_dinamica,1,0.000724,19164
pequena,mochila_dinamica,2,0.000708,17228
pequena,mochila_dinamica,3,0.000682,17148
pequena,mochila_dinamica,4,0.000681,17148
pequena,mochila_dinamica,5,0.000692,17148
pequena,mochila_dinamica,6,0.000681,17148
pequena,mochila_dinamica,7,0.000680,17148
pequena,mochila_dinamica,8,0.000684,17148
pequena,mochila_dinamica,9,0.000691,17148
pequena,mochila_dinamica,10,0.000669,17148
pequena,mochila_dinamica,11,0.000678,17148
pequena,mochila_dinamica,12,0.000684,17148
pequena,mochila_dinamica,13,0.000668,17148
pequena,mochila_dinamica,14,0.000678,17148
pequena,mochila_dinamica,15,0.000669,17148
pequena,mochila_dinamica,16,0.000689,17148
pequena,mochila_dinamica,17,0.000679,17148
pequena,mochila_dinamica,18,0.000684,17148
pequena,mochila_dinamica,19,0.000687,17148
pequena,mochila_dinamica,20,0.000677,17148
pequena,mochila_dinamica,21,0.000691,17148
pequena,mochila_dinamica,22,0.000680,17148
pequena,mochila_dinamica,23,0.000672,17148
pequena,mochila_dinamica,24,0.000597,17148
pequena,mochila_dinamica,25,0.000545,17148
pequena,mochila_dinamica,26,0.000556,17148
pequena,mochila_dinamica,27,0.000578,17148
pequena,mochila_dinamica,28,0.000540,17148
pequena,mochila_dinamica,29,0.000626,17148
pequena,mochila_dinamica,30,0.000598,17148
pequena,mochila_dinamica,31,0.000592,17148
pequena,mochila_dinamica,32,0.000589,17148
pequena,mochila_dinamica,33,0.000563,17148
pequena,mochila_dinamica,34,0.000538,17148
pequena,mochila_dinamica,35,0.000612,17148
pequena,mochila_dinamica,36,0.000554,17148
pequena,mochila_dinamica,37,0.000649,17148
pequena,mochila_dinamica,38,0.000618,17148
pequena,mochila_dinamica,39,0.000524,17148
pequena,mochila_dinamica,40,0.000552,17148
pequena,mochila_dinamica,41,0.000523,17148
pequena,mochila_dinamica,42,0.000531,17148
pequena,mochila_dinamica,43,0.000523,17148
pequena,mochila_dinamica,44,0.000608,17148
pequena,mochila_dinamica,45,0.000603,17148
pequena,mochila_dinamica,46,0.000554,17148
pequena,mochila_dinamica,47,0.000532,17148
pequena,mochila_dinamica,48,0.000515,17148
pequena,mochila_dinamica,49,0.000559,17148
pequena,mochila_dinamica,50,0.000545,17148
pequena,mochila_recursiva,1,0.001188,111380
pequena,mochila_recursiva,2,0.000929,100972
pequena,mochila_recursiva,3,0.001000,100884
pequena,mochila_recursiva,4,0.000930,100948
pequena,mochila_recursiva,5,0.001047,100948
pequena,mochila_recursiva,6,0.001769,100948
pequena,mochila_recursiva,7,0.000814,61316
pequena,mochila_recursiva,8,0.000813,61316
pequena,mochila_recursiva,9,0.000972,79124
pequena,mochila_recursiva,10,0.001079,76100
pequena,mochila_recursiva,11,0.000798,61316
pequena,mochila_recursiva,12,0.000837,62100
pequena,mochila_recursiva,13,0.001195,93628
pequena,mochila_recursiva,14,0.000836,61316
pequena,mochila_recursiva,15,0.000908,68316
pequena,mochila_recursiva,16,0.001134,87412
pequena,mochila_recursiva,17,0.000814,61316
pequena,mochila_recursiva,18,0.000994,74532
pequena,mochila_recursiva,19,0.001078,81180
pequena,mochila_recursiva,20,0.001028,61316
pequena,mochila_recursiva,21,0.001039,81084
pequena,mochila_recursiva,22,0.001040,74684
pequena,mochila_recursiva,23,0.000807,61316
pequena,mochila_recursiva,24,0.001071,87580
pequena,mochila_recursiva,25,0.000990,68188
pequena,mochila_recursiva,26,0.000833,61316
pequena,mochila_recursiva,27,0.001130,94076
pequena,mochila_recursiva,28,0.000941,61564
pequena,mochila_recursiva,29,0.000801,61316
pequena,mochila_recursiva,30,0.001171,99692
pequena,mochila_recursiva,31,0.000813,62324
pequena,mochila_recursiva,32,0.001071,93892
pequena,mochila_recursiva,33,0.000813,68372
pequena,mochila_recursiva,34,0.001202,87844
pequena,mochila_recursiva,35,0.001044,74420
pequena,mochila_recursiva,36,0.001140,81796
pequena,mochila_recursiva,37,0.001118,80468
pequena,mochila_recursiva,38,0.001655,75692
pequena,mochila_recursiva,39,0.000863,61316
pequena,mochila_recursiva,40,0.000909,62828
pequena,mochila_recursiva,41,0.001286,92900
pequena,mochila_recursiva,42,0.000875,61316
pequena,mochila_recursiva,43,0.001016,69044
pequena,mochila_recursiva,44,0.001144,86628
pequena,mochila_recursiva,45,0.000690,61316
pequena,mochila_recursiva,46,0.000802,75316
pequena,mochila_recursiva,47,0.001165,80412
pequena,mochila_recursiva,48,0.000817,61316
pequena,mochila_recursiva,49,0.001097,81532
pequena,mochila_recursiva,50,0.001242,74196
media,mochila_dinamica,1,0.001888,53008
media,mochila_dinamica,2,0.001830,52448
media,mochila_dinamica,3,0.001784,52448
media,mochila_dinamica,4,0.001776,52448
media,mochila_dinamica,5,0.001812,52448
media,mochila_dinamica,6,0.001777,52448
media,mochila_dinamica,7,0.001780,52448
media,mochila_dinamica,8,0.001785,52448
media,mochila_dinamica,9,0.001788,52448
media,mochila_dinamica,10,0.001783,52448
media,mochila_dinamica,11,0.001761,52448
